,País,VIH/SIDA - habitantes infectados con VIH/SIDA,Año
0,Sudáfrica,7700000,2018
1,Mozambique,2200000,2018
2,India,2100000,2017
3,Nigeria,1900000,2018
4,Kenia,1600000,2018
5,Tanzania,1600000,2018
6,Uganda,1400000,2018
7,Zimbabue,1300000,2018
8,Zambia,1200000,2018
9,Malaui,1000000,2018
10,Rusia,1000000,2017
11,Brasil,900000,2018
12,Etiopía,690000,2018
13,Indonesia,640000,2018
14,Camerún,540000,2018
15,Tailandia,480000,2018
16,Costa de Marfil,460000,2018
17,República Democrática del Congo,450000,2018
18,Botsuana,370000,2018
19,Lesoto,340000,2018
20,Angola,330000,2018
21,Ghana,330000,2018
22,Birmania; Myanmar,240000,2018
23,Ucrania,240000,2018
24,Vietnam,230000,2018
25,México,230000,2018
26,Ruanda,220000,2018
27,Suazilandia,210000,2018
28,Namibia,200000,2018
29,Francia,180000,2018
30,Haití,160000,2018
31,Colombia,160000,2018
32,Pakistán,160000,2018
33,España,150000,2018
34,Malí,150000,2018
35,Argentina,140000,2018
36,Italia,130000,2018
37,Chad,120000,2018
38,Guinea,120000,2018
39,Venezuela,120000,2018
40,República Centroafricana,110000,2018
41,Togo,110000,2018
42,Burkina Faso,96000,2018
43,Congo,89000,2018
44,Alemania,87000,2018
45,Malasia,87000,2018
46,Burundi,82000,2018
47,Perú,79000,2018
48,Filipinas,77000,2018
49,Camboya,73000,2018
50,Benín,73000,2018
51,Chile,71000,2018
52,República Dominicana,70000,2018
53,Sierra Leona,70000,2018
54,Guinea Ecuatorial,62000,2018
55,Irán,61000,2018
56,Sudán,59000,2018
57,Gabón,53000,2018
58,Uzbekistán,52000,2018
59,Guatemala,47000,2018
60,Papúa-Nueva Guinea,45000,2018
61,Guinea-Bissau,44000,2018
62,Ecuador,44000,2018
63,Senegal,42000,2018
64,Portugal,41000,2018
65,Jamaica,40000,2018
66,Liberia,39000,2018
67,Madagascar,39000,2018
68,Níger,36000,2018
69,Cuba,31000,2018
70,Japón,30000,2018
71,Nepal,30000,2018
72,Australia,28000,2018
73,Bielorrusia,27000,2018
74,Gambia,26000,2018
75,Panamá,26000,2018
76,Kazajistán,26000,2018
77,El Salvador,25000,2018
78,Honduras,23000,2018
79,Países Bajos,23000,2017
80,Egipto,22000,2018
81,Bolivia,22000,2018
82,Marruecos,21000,2018
83,Paraguay,21000,2018
84,Rumania,18000,2018
85,Eritrea,18000,2018
86,Moldavia,17000,2018
87,Argelia,16000,2018
88,Costa Rica,15000,2018
89,Bangladesh,14000,2018
90,Grecia,14000,2017
91,Uruguay,14000,2018
92,Mauricio,13000,2018
93,Tayikistán,13000,2018
94,Laos,12000,2018
95,Suecia,11000,2016
96,Somalia,11000,2018
97,Trinidad y Tobago,11000,2017
98,Yemen,11000,2018
99,Nicaragua,9400,2018
100,Georgia,9400,2018
101,Libia,9200,2018
102,Israel,9000,2018
103,Yibuti,8800,2018
104,Kirguizistán,8500,2018
105,Arabia Saudí,8200,2016
106,Guyana,8200,2018
107,Azerbaiyán,8000,2017
108,Singapur,7900,2018
109,Austria,7400,2017
110,Estonia,7400,2018
111,Irlanda,7200,2018
112,Afganistán,7200,2018
113,Dinamarca,6200,2018
114,Bahamas,6000,2018
115,Noruega,5800,2018
116,Mauritania,5600,2018
117,Surinam,5600,2018
118,Letonia,5300,2018
119,Belice,4900,2018
120,República Checa,4400,2018
121,Finlandia,4000,2018
122,Hungría,3700,2018
123,Nueva Zelanda,3600,2018
124,Armenia,3500,2018
125,Bulgaria,3500,2018
126,Sri Lanka,3500,2018
127,Omán,3200,2018
128,Serbia,3000,2018
129,Barbados,3000,2018
130,Lituania,2800,2017
131,Túnez,2800,2018
132,Líbano,2500,2018
133,Cabo Verde,2400,2018
134,Croacia,1600,2018
135,Albania,1400,2017
136,Bután,1300,2018
137,Eslovaquia,1200,2018
138,Luxemburgo,1200,2018
139,San Vicente y las Granadinas,1200,2018
140,Santo Tomé y Príncipe,1100,2018
141,Siria,1000,2018
142,Santa Lucía,1000,2018
143,Eslovenia,1000,2017
144,Kuwait,1000,2018
145,Mongolia,1000,2018
146,Antigua y Barbuda,1000,2018
147,Fiyi,1000,2016
148,Dominica,500,2018
149,Islandia,500,2018
150,Granada,500,2018
151,Bahráin,500,2017
152,Bosnia y Hercegovina,500,2018
153,Malta,500,2016
154,Montenegro,500,2018
155,Macedonia,500,2018
156,Jordania,500,2018
157,Qatar,500,2017
158,San Cristóbal y Nieves,200,2018
159,Comoras,200,2018
